ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
PS50102,PS50102,100,0.5439996320966399,1.0164788466160488,0.34965034965034963,0.8824508824508825,0.8824508824508825,847,"tags=44%, list=35%, signal=30%",O00425/O15047/O15056/O43347/O43719/O60506/O75494/P08621/P09012/P09651/P26599/P31483/P31942/P51991/P52298/P98179/Q01081/Q01085/Q14151/Q14498/Q14966/Q15233/Q15287/Q15424/Q16630/Q8IZ69/Q8N684/Q8WXF1/Q96DH6/Q96EP5/Q96PK6/Q9BQ04/Q9H361/Q9UHX1/Q9Y6M1/Q13242/Q9NW64/Q9NZI8/P07910/P52597/O15042/Q13243/P38159/Q15056
PS51257,PS51257,10,0.620333509682325,1.0316298833585356,0.42157842157842157,0.8937462537462538,0.8937462537462537,609,"tags=40%, list=25%, signal=30%",P40926/Q96PK6/Q99829/Q9UHC6
PS51450,PS51450,12,0.609632156544664,1.030459045604878,0.4165834165834166,0.8937462537462538,0.8937462537462537,339,"tags=25%, list=14%, signal=22%",P09661/Q13045/Q15435
PF00009,PF00009,12,0.6089631661601325,1.0293282535596053,0.4205794205794206,0.8937462537462538,0.8937462537462537,734,"tags=33%, list=31%, signal=23%",P49411/Q8IYD1/Q96RP9/O60841
PS51722,PS51722,12,0.6089631661601325,1.0293282535596053,0.4205794205794206,0.8937462537462538,0.8937462537462537,734,"tags=33%, list=31%, signal=23%",P49411/Q8IYD1/Q96RP9/O60841
PF00076,PF00076,98,0.5402861050939147,1.0088441559724866,0.41858141858141856,0.8937462537462538,0.8937462537462537,847,"tags=43%, list=35%, signal=29%",O00425/O15047/O43347/O43719/O60506/O75494/P08621/P09012/P09651/P26599/P31483/P31942/P51991/P52298/P98179/Q01081/Q01085/Q14151/Q14498/Q14966/Q15233/Q15287/Q15424/Q16630/Q8N684/Q8WXF1/Q96DH6/Q96EP5/Q96PK6/Q9BQ04/Q9H361/Q9UHX1/Q9Y6M1/Q13242/Q9NW64/Q9NZI8/P07910/P52597/O15042/Q13243/P38159/Q15056
PS00014,PS00014,21,0.5752868849246495,1.005807795495942,0.46853146853146854,0.973810503222268,0.973810503222268,464,"tags=24%, list=19%, signal=19%",P14314/P30040/Q32P28/Q5NDL2/Q96AY3
PS50004,PS50004,11,0.597235820514111,1.0037504956378303,0.5074925074925075,0.986013986013986,0.986013986013986,505,"tags=36%, list=21%, signal=29%",A0FGR8/P19174/Q86YS7/Q99829
PF01399,PF01399,13,0.5884177567147303,0.9993344274555112,0.5004995004995005,0.986013986013986,0.986013986013986,623,"tags=23%, list=26%, signal=17%",O00231/O00232/Q9UNS2
PF00169,PF00169,14,0.5852112428577987,0.9981752224386109,0.5004995004995005,0.986013986013986,0.986013986013986,901,"tags=64%, list=38%, signal=40%",P19174/P22059/Q6WCQ1/Q8NEU8/Q9UH65/Q9ULH1/P50570/Q70E73/P52735
PS50002,PS50002,33,0.548629514169823,0.9859929816752493,0.5444555444555444,0.986013986013986,0.986013986013986,946,"tags=52%, list=40%, signal=32%",O15034/O94868/P19174/P42684/P49418/Q12959/Q15149/Q96RF0/Q99962/Q9NZW5/Q9ULH1/Q14247/P15924/O75886/Q9NR46/P52735/Q9UJU6
PS50835,PS50835,11,0.5866508605780661,0.9859607743632998,0.5584415584415584,0.986013986013986,0.986013986013986,783,"tags=45%, list=33%, signal=31%",P35613/Q13740/Q8NDA2/Q8WX93/Q9NQS3
